Headline,Body ID,Stance
"ISIS Releases Video Allegedly Showing Beheading of U.S. Journalist Steven Sotloff",1,x
"Apple Watch to go on sale in March, claims analyst",2,x
"Justin Bieber Ringtone Startles Bear",3,x
"The story of the Argentinean president, werewolves and seventh sons",4,x
"Hewlett-Packard Plans to Break in Two",5,x
"Fox News Floats BS Story About Fleeing Marines Giving Rebels Their Guns",6,x
"'I had a third breast implant so I can turn off men'",7,x
"Woman With Three Breasts Is Reportedly A Fake: Jasmine Tridevil’s Real Identity Revealed",8,x
"'Even though you're gay, I will always treat you the same way as I do now': Moving letter from nine-year-old to her school teacher after he came out to his class",9,x
"Woman With Three Breasts Is Reportedly A Fake: Jasmine Tridevil’s Real Identity Revealed",10,x
"CNN: Doctor Took Mid-Surgery Selfie with Unconscious Joan Rivers",11,x
"Yes, we’re being bought by Microsoft",12,x
"Evil Aunt Hacks Off Toddlers Penis",13,x
"50ft crustacean, dubbed Crabzilla, photographed lurking beneath the waters in Whitstable",14,x
"Saudi Arabia's national airline planning to introduce gender segregation on flights",15,x
"Saudi Airlines to ban gender-mixing seating",16,x
"Argentina’s president adopts Jewish boy to save him from life as a werewolf",17,x
"Ferguson and Hong Kong Have One Important Thing in Common",18,x
"Joan Rivers' Doctor Took a Selfie While She Was Under Anesthesia (Report)",19,x
"Teenager wakes up while undergoing BRAIN SURGERY in Poland... and asks the surgeons how the operation is going",20,x
"Apple Reportedly Close to Acquiring 'Path', Looking to Integrate Service Into Messages",21,x
"Adopting Potential Werewolves Is Routine Business for Argentine Presidents",22,x
"Source: Joan Rivers' doc did biopsy, selfie",23,x
"Saudi Arabia set to introduce gender segregation on national airline flights",24,x
"ISIS Leader Injured in Air Strike, Iraqi Officials Say",25,x
"Yemen’s Houthi rebels seize U.S. Marines’ weapons at airport",26,x
"Teen wakes up during brain surgery, asks how it’s going",27,x
"Apple Reportedly Close to Acquiring 'Path', Looking to Integrate Service Into Messages",28,x
"Apple Watch to go on sale in March, claims analyst",29,x
"Adopting Potential Werewolves Is Routine Business for Argentine Presidents",30,x
"British Jihadi Killed In US Airstrike - Reports",31,x
"Tampa woman claims to add 3rd breast",32,x
"This Campaign Shows A Pretty Genius Way To Stop Men Catcalling In The Street",33,x
"Saudi Women May Have to Cover Up Sexy Eyes",34,x
"'They got in our way': James Foley's brother backs mother attacking Obama administration over failure to save photojournalist before he was beheaded by ISIS",35,x
"Joan Rivers’ Doctor Snapped Selfie During Throat Procedure (Report)",36,x
"Iraqi Army Downs 2 UK Planes Carrying Weapons for ISIL",37,x
"Video reportedly shows beheading of reporter Steven Sotloff by ISIS",38,x
"Woman pays $20,000 for third breast to make herself LESS attractive to men",39,x
"Indian bride marries wedding guest after husband has epileptic seizure during ceremony",40,x
"No, the world's oldest tree has not been accidentally cut down by loggers in the Amazon",41,x
"Hewlett-Packard to split into two companies",42,x
"ISIS Leader Injured in Air Strike, Iraqi Officials Say",43,x
"REPORT: Tesla Chooses Nevada For Site Of Its Massive Battery Factory",44,x
"REPORT: 'JIHADI JOHN' WHO BEHEADED JAMES FOLEY WOUNDED IN US AIRSTRIKE",45,x
"Brighton jihadi Khalil al-Britani killed in Syria drone strike",46,x
"When Street Harassers Realize The Women They're Catcalling Are Their Moms In Disguise",47,x
"IBM Corp expected to cut more than 110,000 jobs in massive overhaul, report says",48,x
"Source: Missing Afghan soldiers at Canadian border",49,x
"Justin Bieber ringtone saves Russian man from bear attack",50,x
"Woman has surgery to get third breast: The three most statistically unlikely pairs of boobs",51,x
"ISIS claims to behead US reporter Steven Sotloff in new video",52,x
"ISIS video shows beheading of American journalist Steven Sotloff",53,x
"Reports: NHL expansion could include Las Vegas, others",54,x
"Pregnant woman loses eye after police shoot bean bag at her",55,x
"50ft crustacean, dubbed Crabzilla, photographed lurking beneath the waters in Whitstable",56,x
"A Russian Guy Says His Justin Bieber Ringtone Saved Him From A Bear Attack",57,x
"Woman Reportedly Cuts Off Husband's Penis Twice in One Night",58,x
"No, Argentina's president did not adopt a Jewish child to stop him turning into a werewolf",59,x
"U.S. confirms authenticity of second journalist beheading video",60,x
"Was Charles Manson's 'Fiancée' Playing Him to Get Custody of His Corpse?",61,x
"Iga Jasica Says Awakening During Brain Surgery Was No Mistake",62,x
"Fresh agony for James Foley's family as sick ISIS militants 'try to sell them his headless body for $1million'",63,x
"Mariam Al Mansouri: Female Fighter Pilot Disowned By Family For Bombing ISIS Terrorists In Syria",64,x
"Loggers have NOT accidentally cut down world’s oldest tree",65,x
"Passenger headed to Dallas rages over ‘Merry Christmas,’ removed from plane",66,x
"Government threatened Foleys with criminal charges over ransom",67,x
"Woman Who Claimed To Have Surgery To Add Third Breast Exposed As Hoaxer",68,x
"Joan Rivers’ doctor snapped a selfie before biopsy surgery",69,x
"Saudi Airlines to ban gender-mixing seating",70,x
"Hearing Unconfirmed Reports of Saudi Pipeline Explosion",71,x
"White House Threatened James Foley's Family with Prosecution",72,x
"Three Boobs Are Most Likely Two Boobs and a Lie",73,x
"Woman Who Claimed To Have Surgery To Add Third Breast Exposed As Hoaxer",74,x
"Argentina’s President Adopted A Jewish Godson To Stop Him From Turning Into A Werewolf",75,x
"Video purports to show beheading of US journalist",76,x
"Florida woman claims to have surgically added third breast",77,x
"Florida Woman Has Surgery To Add Third Breast To Her Chest",78,x
"​ISIS might be harvesting organs, Iraqi diplomat says",79,x
"Woman with three breasts: Real or hoax?",80,x
"Joan Rivers' doctor snapped selfie during throat surgery: report",81,x
"Apple Watches to be kept in safes",82,x
"Bear attack foiled by Justin Bieber’s music: A story too good to check",83,x
"Lisa Bonet Did NOT Send “Cryptic Tweet” About Bill Cosby — Twitter Account Fake!",84,x
"Apple was forced to nix key health features from its smartwatch -- report",85,x
"Would US sue parents of James Foley? Why White House is Defending Itself",86,x
"ISIS online video shows beheading of U.S. journalist Steven Sotloff",87,x
